key,en,es,ar
Installation,Installation,Instalación,تثبيت
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es,عملية تثبيت المشروع هي
Payment Watting,Payment Watting,Mataje de pago,الدفع
canceled,Canceled,Cancelado,ألغيت
Failed!,Failed!,¡Fallido!,فشل!
Project Installation Server,Project Installation Server,Servidor de instalación del proyecto,خادم تثبيت المشروع
Requirements,Requirements,Requisitos,متطلبات
Back,Back,Atrás,خلف
Buyer Username/Email,Buyer Username/Email,Nombre de usuario/correo electrónico del comprador,اسم مستخدم المشتري/البريد الإلكتروني
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Seller Username/Email,Seller Username/Email,Nombre de usuario/correo electrónico del vendedor,اسم مستخدم البائع/البريد الإلكتروني
Me,Me,A mí,أنا
Are you sure to logout?,Are you sure to logout?,¿Estás seguro de cerrar sesión?,هل أنت متأكد من تسجيل الخروج؟
Next,Next,Próximo,التالي
Welcome,Welcome,Bienvenido,مرحباً
To Project Installation Process,To Project Installation Process,Al proceso de instalación del proyecto,لعملية تثبيت المشروع
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con el proceso de instalación, haga clic en el botón Inicio. Si elige no instalar esta aplicación, haga clic en el botón Cancelar. Gracias","للمتابعة مع عملية التثبيت ، انقر على زر البدء. إذا اخترت عدم تثبيت هذا التطبيق ، فانقر فوق الزر ""إلغاء"". شكرًا"
Cancel,Cancel,Cancelar,يلغي
Start,Start,Comenzar,يبدأ
Admin | Login,Admin | Login,Administrador | Acceso,المسؤول | تسجيل الدخول
sub-title,sub-title,subtitular,العنوان الفرعي
Password ,Password ,Contraseña,كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o nombre de usuario de su cuenta,أدخل عنوان بريدك الإلكتروني أو اسم المستخدم
Username OR Email Address,Username OR Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني
Send,Send,Enviar,يرسل
sub-title mt-0,sub-title mt-1,subtitle MT-1,الفرعية العنوان MT-1
Reset ,Reset ,Reiniciar,إعادة ضبط
Password,Password,Contraseña,كلمة المرور
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
text--base,text--base,Texto-Base,نص-قاعدة
Login,Login,Acceso,تسجيل الدخول
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Default,Default,Por defecto,تقصير
Sender,Sender,Remitente,مرسل
Receiver,Receiver,Receptor,المتلقي
modal-title,modal-title,modal,طبقة مشروطة
Add Language,Add Language,Agregar lenguaje,إضافة لغة
button,button,botón,زر
Add,Add,Agregar,يضيف
Edit Language,Edit Language,Editar lenguaje,تحرير اللغة
Update,Update,Actualizar,تحديث
Add Item,Add Item,Añadir artículo,اضافة عنصر
Add Blog,Add Blog,Agregar blog,أضف مدونة
Add Solution,Add Solution,Agregar solución,أضف الحل
Add Page,Add Page,Añadir página,إضافة صفحة
Add Admin,Add Admin,Agregar administrador,إضافة المسؤول
Date,Date,Fecha,تاريخ
countryFlag,countryFlag,Bandera del país,علم الدولة
Image,Image,Imagen,صورة
Admin Profile Image,Admin Profile Image,Imagen de perfil de administración,صورة ملف تعريف المسؤول
Add Currency,Add Currency,Agregar moneda,أضف العملة
Country Flag,Country Flag,Bandera del país,علم الدولة
Add Escrow Category,Add Escrow Category,Agregar categoría de depósito en garantía,أضف فئة الضمان
Add New Screen,Add New Screen,Agregar nueva pantalla,أضف شاشة جديدة
Add New Permission,Add New Permission,Agregar nuevo permiso,أضف إذنًا جديدًا
selectRole,selectRole,selectrolo,SelectRole
Assign Permission Page/Task,Assign Permission Page/Task,Asignar la página/tarea de permiso,تعيين صفحة/مهمة إذن
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Add New Role,Add New Role,Agregar un nuevo rol,أضف دورًا جديدًا
Edit Role,Edit Role,Rol de edición,تحرير الدور
Add New Category,Add New Category,Añadir nueva categoria,إضافة فئة جديدة
Escrow Overview,Escrow Overview,Descripción general del depósito,نظرة عامة على الضمان
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول
Edit Category,Edit Category,Editar categoria,تحرير الفئة
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Edit Escrow Category,Edit Escrow Category,Editar categoría de depósito en garantía,تحرير فئة الضمان
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة
Update Extension,Update Extension,Extensión de actualización,تمديد تحديث
extension-name,extension-name,nombre de extensión,اسم التمديد
Rejejct KYC ,Rejejct KYC ,REJEJCT KYC,Rejejct KYC
Submit,Submit,Entregar,يُقدِّم
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Close,Close,Cerca,يغلق
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Global Setting for,Global Setting for,Escenario global para,الإعداد العالمي ل
in bellow,in bellow,a la derecha,في دار العالي
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Charge,Charge,Cargar,تكلفة
Rate,Rate,Tasa,معدل
Total Supported Currency,Total Supported Currency,Moneda total compatible,إجمالي العملة المدعومة
Collect Data,Collect Data,Recolectar datos,اجمع بيانات
fas fa-plus,fas fa-plus,fas fa-plus,fas fa plus
Field Types*,Field Types*,Tipos de campo*,أنواع الحقول*
"This ticket is solved, you can","This ticket is solved, you can","Este boleto está resuelto, puedes",تم حل هذه التذكرة ، يمكنك
Pending Tickets,Pending Tickets,Boletos pendientes,تذاكر معلقة
View All,View All,Ver todo,عرض الكل
paymentWaiting,Payment Waiting,Pago esperando,انتظار الدفع
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة
Solved Tickets,Solved Tickets,Boletos resueltos,حل التذاكر
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
action,Action,Acción,فعل
Mark as Solved,Mark as Solved,Marca como se resuelve,علامة كما تم حلها
Support Details,Support Details,Detalles de apoyo,تفاصيل الدعم
Subject,Subject,Sujeto,موضوع
Description,Description,Descripción,وصف
Attachments,Attachments,Archivos adjuntos,المرفقات
Question,Question,Pregunta,سؤال
Answer,Answer,Respuesta,إجابة
Details,Details,Detalles,تفاصيل
Charges,Charges,Cargos,رسوم
Fixed Charge*,Fixed Charge*,Cargo fijo*,شحنة ثابتة*
Percent Charge*,Percent Charge*,Porcentaje de carga*,تكلفة النسبة المئوية*
Page Name,Page Name,Nombre de la página,اسم الصفحة
Range,Range,Rango,يتراوح
Minimum Amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ
Maximum Amount,Maximum Amount,Cantidad máxima,الحد الأقصى للمبلغ
Admin,Admin,Administración,مسؤل
Settings,Settings,Ajustes,إعدادات
Language,Language,Idioma,لغة
Layout Mode,Layout Mode,Modo de diseño,وضع التصميم
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color topbar,لون الشفر
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral,لون الشريط الجانبي
Direction,Direction,Dirección,اتجاه
RTL Support,RTL Support,Soporte RTL,دعم RTL
Reset To Default,Reset To Default,Restablecen a los predeterminados,إعادة تعيين إلى الافتراضي
Notification,Notification,Notificación,إشعار
Clear All,Clear All,Limpiar todo,امسح الكل
No new notification found!,No new notification found!,¡No se encontró una nueva notificación!,لم يتم العثور على إشعار جديد!
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
menu-title,menu-title,título de menú,القائمة
Auth Section,Auth Section,Sección de autores,قسم المصادقة
Blog Category,Blog Category,Categoría de blog,فئة المدونة
Blog Section,Blog Section,Sección de blogs,قسم المدونة
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل
Add Money Details,Add Money Details,Agregar detalles de dinero,أضف تفاصيل المال
USER,USER,USUARIO,مستخدم
SL,SL,SLE,SL
Dashboard,Dashboard,Panel,لوحة القيادة
active,active,activo,نشيط
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),Favicon (نسخة مظلمة)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),Favicon (نسخة خفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),شعار (نسخة مظلمة)
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),شعار (إصدار الضوء)
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Social Title,Social Title,Título social,العنوان الاجتماعي
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Web Version,Web Version,Versión web,إصدار الويب
Site Title,Site Title,Título del sitio,عنوان الموقع
Deactivated,Deactivated,Desactivado,إلغاء تنشيطه
Icon,Icon,Icono,أيقونة
Activated,Activated,Activado,مفعل
Image Assets,Image Assets,Activos de imagen,أصول الصورة
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
Force SSL,Force SSL,Forzar SSL,قوة SSL
Agree Policy,Agree Policy,Política de acuerdo,توافق على السياسة
Secure Password,Secure Password,Contraseña segura,كلمة مرور تأمين
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Site Name,Site Name,Nombre del sitio,اسم الموقع
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول
All,All,Todo,الجميع
Admin Roles,Admin Roles,Roles de administración,أدوار المشرف
Admin Role,Admin Role,Rol de administrador,دور المسؤول
